,CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary
9254,0.36701255059976284,-0.6600184841162697,0.3413519501232164,-1.2258476714090278,0.8077365626180215,0.9702425509371355,1.373783577489681
1561,-0.19171333779384153,0.2935174228967471,-0.35020386455104724,0.6913888112717486,0.8077365626180215,0.9702425509371355,1.6674072888505693
1670,-0.9470279646963067,-1.4228472097266833,-0.695981771888179,0.613101513322822,-0.9115834940401767,-1.0306701134001208,-0.24691024540961162
6087,-0.9263344132743214,-1.1367864376227783,1.378685672134612,0.9480212886658435,-0.9115834940401767,-1.0306701134001208,0.921445934982976
6669,-1.381592544557999,1.6284676927149706,1.378685672134612,1.0523628958095774,-0.9115834940401767,-1.0306701134001208,-1.0538117002471714
5933,-0.84356020758638,0.1981638321954454,-0.35020386455104724,0.7013078286541791,-0.9115834940401767,-1.0306701134001208,1.0965467387821273
8829,0.33597222346678485,0.10281024149414371,-1.3875375865624426,-1.2258476714090278,0.8077365626180215,-1.0306701134001208,-0.4230437819643489
7945,1.122327177502228,0.5795781950006521,1.03290776479748,-1.2258476714090278,0.8077365626180215,0.9702425509371355,-0.014589369574700512
3508,-2.3231491342583324,-0.4693113027136664,-0.695981771888179,-1.2258476714090278,0.8077365626180215,0.9702425509371355,-0.6757263082480467
2002,-0.5124633848346144,3.344832325338401,-1.0417596792253108,-1.2258476714090278,0.8077365626180215,0.9702425509371355,-0.843986626925251
5866,0.8740045604384039,1.3424069206110656,1.03290776479748,0.7590353911277289,0.8077365626180215,0.9702425509371355,1.223571650489153
168,0.17042381209090204,0.0074566507928420294,-1.0417596792253108,-1.2258476714090278,0.8077365626180215,-1.0306701134001208,-1.0323675845006035
2588,0.9360852147043599,-0.6600184841162697,-0.004425957213915414,-1.2258476714090278,-0.9115834940401767,0.9702425509371355,-0.6129798378783452
5905,-1.443673198823955,-0.8507256655188732,-0.004425957213915414,-1.2258476714090278,0.8077365626180215,-1.0306701134001208,0.7634574729491831
9529,-1.474713525956933,0.1981638321954454,-0.004425957213915414,-1.2258476714090278,0.8077365626180215,0.9702425509371355,-0.10293244907426596
6384,-1.2574312360260869,-0.7553720748175714,0.6871298574603482,-1.2258476714090278,0.8077365626180215,0.9702425509371355,1.3147411381734793
7824,0.2325044663568581,0.48422460429935044,1.03290776479748,0.9128893853020643,-0.9115834940401767,0.9702425509371355,-1.6412095378255886
9779,-1.4022860959799843,0.10281024149414371,1.7244635794717436,0.7191379872250948,-0.9115834940401767,-1.0306701134001208,0.6654779308942537
4629,2.063883767202561,0.9609925578058589,1.03290776479748,0.35521940225342435,-0.9115834940401767,-1.0306701134001208,0.33186282167809833
8560,-0.2434472163488049,-1.0414328469214764,-0.004425957213915414,-0.08636462884465432,-0.9115834940401767,0.9702425509371355,0.528873418664373
9291,-0.15032623494987085,-0.27860412131106305,-0.004425957213915414,0.6582840166325081,0.8077365626180215,0.9702425509371355,0.19967894122334953
